Neighborhood,prices,year,month,total crime,violent crime,drug crime,housing crime,price classified
Dorchester,504913.0,2018,4,1900,302,82,75,medium
Dorchester,508995.0,2018,5,2159,351,85,87,medium
Dorchester,512982.0,2018,6,2203,370,75,91,medium
Dorchester,516404.0,2018,7,2070,296,91,84,medium
Dorchester,519070.0,2018,8,1912,255,68,81,medium
Dorchester,521975.0,2018,9,1935,322,59,81,medium
Dorchester,524957.0,2018,10,1779,263,56,50,medium
Dorchester,528878.0,2018,11,1811,265,55,66,medium
Dorchester,532509.0,2018,12,1806,257,61,84,medium
Dorchester,537055.0,2019,9,111,13,8,7,medium
Dorchester,538610.0,2019,10,1616,165,66,125,medium
Dorchester,538231.0,2019,11,1440,150,55,127,medium
Dorchester,537752.0,2019,12,1326,140,28,106,medium
Dorchester,538523.0,2020,1,1407,155,43,113,medium
Dorchester,542277.0,2020,2,1264,108,64,108,medium
Dorchester,547103.0,2020,3,1306,124,39,82,medium
Dorchester,549538.0,2020,4,998,73,3,59,medium
Dorchester,549559.0,2020,5,1364,135,19,73,medium
Dorchester,546841.0,2020,6,1559,137,13,86,medium
Dorchester,547392.0,2020,7,1517,149,16,89,medium
Dorchester,550730.0,2020,8,1562,162,24,76,medium
Dorchester,557951.0,2020,9,1512,153,28,83,medium
Dorchester,564060.0,2020,10,1473,127,26,75,medium
Dorchester,569070.0,2020,11,1335,106,35,65,medium
Dorchester,571056.0,2020,12,1337,109,27,93,medium
Dorchester,573071.0,2021,1,1210,89,24,60,medium
Dorchester,576834.0,2021,2,1222,84,42,60,medium
Dorchester,579456.0,2021,3,1337,108,38,80,medium
Dorchester,584965.0,2021,4,1318,106,27,63,medium
Dorchester,588519.0,2021,5,1431,147,30,64,medium
Dorchester,595617.0,2021,6,1484,170,22,71,medium
Dorchester,601099.0,2021,7,1386,118,28,87,medium
Dorchester,605020.0,2021,8,1565,122,46,67,medium
Dorchester,604680.0,2021,9,1469,122,31,63,medium
Downtown,1013973.0,2015,6,256,32,27,17,high
Downtown,1030056.0,2015,7,501,76,36,30,high
Downtown,1041340.0,2015,8,573,105,27,45,high
Downtown,1057461.0,2015,9,614,99,51,55,high
Downtown,1062665.0,2015,10,606,126,51,64,high
Downtown,1069361.0,2015,11,474,83,22,40,high
Downtown,1076881.0,2015,12,472,81,16,36,high
Downtown,1090686.0,2016,1,536,94,23,46,high
Downtown,1093722.0,2016,2,399,49,26,24,high
Downtown,1101739.0,2016,3,501,83,46,39,high
Downtown,1101463.0,2016,4,472,72,31,50,high
Downtown,1106716.0,2016,5,502,59,50,35,high
Downtown,1107430.0,2016,6,501,78,43,38,high
Downtown,1110303.0,2016,7,575,71,42,46,high
Downtown,1114479.0,2016,8,518,67,35,43,high
Downtown,1119943.0,2016,9,545,79,31,32,high
Downtown,1126334.0,2016,10,576,95,22,44,high
Downtown,1136422.0,2016,11,514,79,34,48,high
Downtown,1140316.0,2016,12,431,82,13,40,high
Downtown,1140762.0,2017,1,478,77,26,31,high
Downtown,1143479.0,2017,2,435,73,23,34,high
Downtown,1150490.0,2017,3,485,71,26,28,high
Downtown,1163327.0,2017,4,489,68,21,26,high
Downtown,1170421.0,2017,5,533,79,34,29,high
Downtown,1176163.0,2017,6,573,78,30,45,high
Downtown,1180589.0,2017,7,590,99,33,34,high
Downtown,1186306.0,2017,8,612,111,43,50,high
Downtown,1190119.0,2017,9,552,86,40,46,high
Downtown,1190234.0,2017,10,581,80,31,32,high
Downtown,1192588.0,2017,11,475,85,37,31,high
Downtown,1195654.0,2017,12,448,59,13,45,high
Downtown,1201001.0,2018,1,440,85,23,27,very high
Downtown,1204307.0,2018,2,449,75,14,40,very high
Downtown,1212623.0,2018,3,467,78,24,30,very high
Downtown,1215243.0,2018,4,464,87,13,30,very high
Downtown,1215664.0,2018,5,517,102,29,23,very high
Downtown,1209400.0,2018,6,445,85,23,23,very high
Downtown,1206340.0,2018,7,573,98,29,40,very high
Downtown,1201979.0,2018,8,550,96,31,45,very high
Downtown,1198941.0,2018,9,534,77,42,40,high
Downtown,1199860.0,2018,10,549,105,29,37,high
Downtown,1202203.0,2018,11,472,83,25,36,very high
Downtown,1204014.0,2018,12,506,84,28,49,very high
Downtown,1205636.0,2019,9,34,3,1,6,very high
Downtown,1204917.0,2019,10,597,62,29,75,very high
Downtown,1200122.0,2019,11,535,59,40,72,very high
Downtown,1194783.0,2019,12,463,63,15,67,high
Downtown,1194452.0,2020,1,482,50,21,78,high
Downtown,1198155.0,2020,2,449,51,22,70,high
Downtown,1199266.0,2020,3,384,35,9,51,high
Downtown,1197999.0,2020,4,317,22,1,29,high
Downtown,1191148.0,2020,5,348,38,14,32,high
Downtown,1183809.0,2020,6,338,44,3,44,high
Downtown,1176465.0,2020,7,366,63,7,35,high
Downtown,1175894.0,2020,8,350,45,5,32,high
Downtown,1183688.0,2020,9,416,56,13,32,high
Downtown,1193660.0,2020,10,417,47,37,40,high
Downtown,1198605.0,2020,11,343,31,13,29,high
Downtown,1197800.0,2020,12,295,19,9,30,high
Downtown,1195435.0,2021,1,302,34,5,25,high
Downtown,1198102.0,2021,2,255,27,10,19,high
Downtown,1198242.0,2021,3,347,48,11,21,high
Downtown,1202347.0,2021,4,332,44,20,32,very high
Downtown,1201890.0,2021,5,371,40,15,31,very high
Downtown,1205131.0,2021,6,410,48,16,30,very high
Downtown,1209756.0,2021,7,392,45,15,30,very high
Downtown,1215843.0,2021,8,492,42,50,36,very high
Downtown,1216014.0,2021,9,462,49,45,41,very high
East Boston,347989.0,2015,6,181,26,9,21,low
East Boston,355531.0,2015,7,378,61,29,23,low
East Boston,361746.0,2015,8,374,48,24,20,low
East Boston,369571.0,2015,9,391,66,23,27,low
East Boston,372849.0,2015,10,379,54,36,18,low
East Boston,377056.0,2015,11,349,44,33,19,low
East Boston,381090.0,2015,12,317,35,22,20,low
East Boston,388421.0,2016,1,304,39,22,7,low
East Boston,390578.0,2016,2,286,34,17,12,low
East Boston,394900.0,2016,3,299,39,29,8,low
East Boston,396384.0,2016,4,366,59,22,18,low
East Boston,401623.0,2016,5,363,72,26,21,low
East Boston,408222.0,2016,6,392,61,26,21,low
East Boston,413224.0,2016,7,321,48,21,8,low
East Boston,419449.0,2016,8,348,53,9,14,low
East Boston,424572.0,2016,9,330,50,8,9,low
East Boston,431444.0,2016,10,337,48,22,13,low
East Boston,438576.0,2016,11,291,46,18,7,low
East Boston,443205.0,2016,12,326,57,10,16,low
East Boston,444880.0,2017,1,339,44,18,10,low
East Boston,445820.0,2017,2,280,56,8,13,low
East Boston,446237.0,2017,3,311,46,20,13,low
East Boston,451035.0,2017,4,335,35,15,21,low
East Boston,454763.0,2017,5,335,39,11,13,low
East Boston,456018.0,2017,6,363,67,15,11,low
East Boston,455954.0,2017,7,333,54,16,13,low
East Boston,457271.0,2017,8,397,58,12,22,low
East Boston,461167.0,2017,9,332,42,12,19,low
East Boston,463350.0,2017,10,360,59,12,23,low
East Boston,465469.0,2017,11,332,40,16,8,low
East Boston,466889.0,2017,12,322,44,11,19,low
East Boston,468472.0,2018,1,342,42,13,13,low
East Boston,471075.0,2018,2,323,46,11,13,low
East Boston,475060.0,2018,3,332,47,24,10,low
East Boston,480777.0,2018,4,335,45,16,11,low
East Boston,485743.0,2018,5,352,54,11,12,low
East Boston,491017.0,2018,6,344,50,14,17,low
East Boston,495126.0,2018,7,313,47,14,17,low
East Boston,498972.0,2018,8,297,40,14,18,low
East Boston,501737.0,2018,9,279,33,15,15,medium
East Boston,506106.0,2018,10,297,39,14,13,medium
East Boston,511485.0,2018,11,291,40,12,12,medium
East Boston,516176.0,2018,12,275,47,13,12,medium
East Boston,530075.0,2019,9,17,1,0,2,medium
East Boston,530064.0,2019,10,275,36,12,20,medium
East Boston,528151.0,2019,11,230,20,11,18,medium
East Boston,526856.0,2019,12,229,9,13,15,medium
East Boston,525824.0,2020,1,236,15,3,19,medium
East Boston,528908.0,2020,2,256,16,9,16,medium
East Boston,531638.0,2020,3,241,21,5,15,medium
East Boston,532998.0,2020,4,195,10,1,16,medium
East Boston,532757.0,2020,5,220,27,4,12,medium
East Boston,531850.0,2020,6,261,20,7,11,medium
East Boston,531848.0,2020,7,322,35,9,14,medium
East Boston,534692.0,2020,8,330,34,13,21,medium
East Boston,540047.0,2020,9,266,27,16,12,medium
East Boston,546699.0,2020,10,303,28,20,18,medium
East Boston,550919.0,2020,11,237,23,11,19,medium
East Boston,553894.0,2020,12,260,23,7,18,medium
East Boston,555715.0,2021,1,249,23,11,27,medium
East Boston,558986.0,2021,2,243,23,5,12,medium
East Boston,559968.0,2021,3,254,19,5,18,medium
East Boston,562822.0,2021,4,245,12,0,13,medium
East Boston,564767.0,2021,5,280,24,1,16,medium
East Boston,569828.0,2021,6,290,28,2,24,medium
East Boston,578482.0,2021,7,266,25,2,19,medium
East Boston,586129.0,2021,8,279,26,2,9,medium
East Boston,591058.0,2021,9,272,21,1,22,medium
Fenway,460051.0,2015,6,102,12,0,17,low
Fenway,466475.0,2015,7,234,27,4,35,low
Fenway,470842.0,2015,8,283,41,4,52,low
Fenway,476405.0,2015,9,228,26,3,45,low
Fenway,478094.0,2015,10,217,33,6,23,low
Fenway,479792.0,2015,11,246,40,2,41,low
Fenway,483810.0,2015,12,215,24,0,37,low
Fenway,491421.0,2016,1,178,24,1,37,low
Fenway,494365.0,2016,2,205,34,4,19,low
Fenway,497493.0,2016,3,200,31,4,20,low
Fenway,496546.0,2016,4,233,31,6,21,low
Fenway,499299.0,2016,5,259,41,2,32,low
Fenway,503130.0,2016,6,226,31,5,27,medium
Fenway,505412.0,2016,7,256,35,9,16,medium
Fenway,509314.0,2016,8,234,33,3,23,medium
Fenway,511134.0,2016,9,280,43,2,26,medium
Fenway,516437.0,2016,10,225,16,3,20,medium
Fenway,523303.0,2016,11,183,18,1,20,medium
Fenway,526825.0,2016,12,205,29,2,28,medium
Fenway,528585.0,2017,1,195,16,7,27,medium
Fenway,530504.0,2017,2,159,18,0,23,medium
Fenway,536344.0,2017,3,169,19,3,19,medium
Fenway,545420.0,2017,4,248,44,3,23,medium
Fenway,551067.0,2017,5,218,37,1,16,medium
Fenway,557203.0,2017,6,247,35,12,21,medium
Fenway,561711.0,2017,7,233,26,1,26,medium
Fenway,566321.0,2017,8,223,33,1,19,medium
Fenway,566928.0,2017,9,257,31,3,24,medium
Fenway,566673.0,2017,10,169,16,0,18,medium
Fenway,566999.0,2017,11,198,28,2,13,medium
Fenway,567947.0,2017,12,176,25,1,21,medium
Fenway,570689.0,2018,1,178,33,5,19,medium
Fenway,575296.0,2018,2,163,20,1,21,medium
Fenway,581518.0,2018,3,215,23,7,37,medium
Fenway,585610.0,2018,4,254,37,3,47,medium
Fenway,589661.0,2018,5,252,37,7,29,medium
Fenway,591358.0,2018,6,296,41,1,32,medium
Fenway,593909.0,2018,7,308,45,5,34,medium
Fenway,594009.0,2018,8,229,27,2,22,medium
Fenway,595600.0,2018,9,267,27,4,36,medium
Fenway,596052.0,2018,10,216,19,3,23,medium
Fenway,598274.0,2018,11,216,28,5,32,medium
Fenway,600077.0,2018,12,209,28,8,39,medium
Fenway,600826.0,2019,9,6,0,0,1,medium
Fenway,600222.0,2019,10,135,11,2,20,medium
Fenway,597543.0,2019,11,134,14,1,19,medium
Fenway,596183.0,2019,12,121,9,0,25,medium
Fenway,596749.0,2020,1,118,13,0,17,medium
Fenway,600647.0,2020,2,120,14,0,18,medium
Fenway,602719.0,2020,3,81,11,0,7,medium
Fenway,602430.0,2020,4,86,11,0,6,medium
Fenway,600718.0,2020,5,83,7,1,6,medium
Fenway,600320.0,2020,6,84,4,0,8,medium
Fenway,601299.0,2020,7,146,12,0,13,medium
Fenway,604265.0,2020,8,142,11,0,6,medium
Fenway,608615.0,2020,9,119,7,1,7,medium
Fenway,613649.0,2020,10,103,11,1,8,medium
Fenway,616503.0,2020,11,113,8,0,10,medium
Fenway,616925.0,2020,12,125,10,1,11,medium
Fenway,615155.0,2021,1,97,6,3,8,medium
Fenway,615940.0,2021,2,119,9,1,16,medium
Fenway,612436.0,2021,3,138,12,1,14,medium
Fenway,612120.0,2021,4,150,9,2,15,medium
Fenway,609930.0,2021,5,195,17,0,9,medium
Fenway,612356.0,2021,6,183,19,0,12,medium
Fenway,613572.0,2021,7,155,13,0,6,medium
Fenway,613035.0,2021,8,176,14,1,11,medium
Fenway,610712.0,2021,9,186,12,1,10,medium
Hyde Park,354930.0,2015,6,173,31,14,8,low
Hyde Park,358649.0,2015,7,341,49,31,26,low
Hyde Park,361456.0,2015,8,305,32,22,19,low
Hyde Park,364590.0,2015,9,274,38,19,20,low
Hyde Park,366452.0,2015,10,334,37,24,27,low
Hyde Park,368165.0,2015,11,315,36,5,20,low
Hyde Park,371227.0,2015,12,308,40,16,24,low
Hyde Park,377353.0,2016,1,279,32,13,19,low
Hyde Park,380139.0,2016,2,323,37,29,14,low
Hyde Park,384252.0,2016,3,309,38,32,10,low
Hyde Park,385793.0,2016,4,294,55,23,14,low
Hyde Park,388620.0,2016,5,308,38,21,15,low
Hyde Park,389275.0,2016,6,362,46,27,19,low
Hyde Park,389404.0,2016,7,315,51,19,20,low
Hyde Park,390160.0,2016,8,355,49,10,18,low
Hyde Park,390525.0,2016,9,321,46,20,12,low
Hyde Park,391088.0,2016,10,290,23,15,9,low
Hyde Park,393603.0,2016,11,280,40,9,5,low
Hyde Park,394727.0,2016,12,339,40,4,17,low
Hyde Park,396200.0,2017,1,338,44,15,18,low
Hyde Park,397481.0,2017,2,319,40,13,19,low
Hyde Park,401845.0,2017,3,350,42,15,11,low
Hyde Park,407384.0,2017,4,302,46,8,16,low
Hyde Park,412085.0,2017,5,378,48,17,16,low
Hyde Park,415137.0,2017,6,345,36,18,8,low
Hyde Park,416950.0,2017,7,395,52,4,23,low
Hyde Park,419164.0,2017,8,335,40,8,9,low
Hyde Park,420891.0,2017,9,336,37,11,12,low
Hyde Park,422775.0,2017,10,341,50,9,15,low
Hyde Park,424656.0,2017,11,357,48,6,15,low
Hyde Park,426057.0,2017,12,288,36,8,10,low
Hyde Park,429004.0,2018,1,358,47,3,16,low
Hyde Park,431151.0,2018,2,305,37,8,5,low
Hyde Park,436210.0,2018,3,311,38,6,6,low
Hyde Park,440092.0,2018,4,334,44,10,10,low
Hyde Park,444825.0,2018,5,382,44,4,6,low
Hyde Park,447365.0,2018,6,385,36,11,14,low
Hyde Park,450607.0,2018,7,340,47,9,4,low
Hyde Park,454288.0,2018,8,364,44,13,9,low
Hyde Park,458227.0,2018,9,344,51,18,8,low
Hyde Park,460911.0,2018,10,364,56,8,9,low
Hyde Park,464123.0,2018,11,314,40,7,8,low
Hyde Park,467276.0,2018,12,321,41,10,7,low
Hyde Park,472875.0,2019,9,15,2,0,0,low
Hyde Park,472980.0,2019,10,348,19,2,32,low
Hyde Park,472871.0,2019,11,307,20,2,21,low
Hyde Park,473266.0,2019,12,283,14,4,24,low
Hyde Park,474045.0,2020,1,298,20,8,32,low
Hyde Park,477208.0,2020,2,258,14,4,25,low
Hyde Park,481178.0,2020,3,271,16,7,19,low
Hyde Park,483695.0,2020,4,235,20,1,21,low
Hyde Park,484449.0,2020,5,280,15,4,20,low
Hyde Park,485016.0,2020,6,306,21,4,26,low
Hyde Park,487998.0,2020,7,278,27,6,26,low
Hyde Park,493879.0,2020,8,310,21,0,19,low
Hyde Park,503153.0,2020,9,299,24,8,24,medium
Hyde Park,511290.0,2020,10,284,20,4,16,medium
Hyde Park,517214.0,2020,11,327,19,3,24,medium
Hyde Park,519816.0,2020,12,286,24,1,13,medium
Hyde Park,522934.0,2021,1,225,12,4,10,medium
Hyde Park,527697.0,2021,2,222,13,4,19,medium
Hyde Park,529239.0,2021,3,290,22,2,21,medium
Hyde Park,535039.0,2021,4,252,20,3,11,medium
Hyde Park,540938.0,2021,5,233,16,2,14,medium
Hyde Park,551422.0,2021,6,253,15,3,16,medium
Hyde Park,559084.0,2021,7,269,14,6,18,medium
Hyde Park,565121.0,2021,8,308,16,3,23,medium
Hyde Park,566251.0,2021,9,257,19,2,19,medium
Jamaica Plain,494251.0,2015,6,173,17,14,19,low
Jamaica Plain,500231.0,2015,7,362,70,21,36,medium
Jamaica Plain,504760.0,2015,8,370,49,38,26,medium
Jamaica Plain,511146.0,2015,9,416,64,32,26,medium
Jamaica Plain,513893.0,2015,10,379,44,27,46,medium
Jamaica Plain,517444.0,2015,11,376,43,26,36,medium
Jamaica Plain,521988.0,2015,12,385,32,29,21,medium
Jamaica Plain,530726.0,2016,1,352,38,30,15,medium
Jamaica Plain,533710.0,2016,2,375,40,22,36,medium
Jamaica Plain,537336.0,2016,3,350,50,32,22,medium
Jamaica Plain,536312.0,2016,4,401,50,26,30,medium
Jamaica Plain,538740.0,2016,5,393,59,29,28,medium
Jamaica Plain,541385.0,2016,6,453,60,29,30,medium
Jamaica Plain,543362.0,2016,7,436,61,23,31,medium
Jamaica Plain,545576.0,2016,8,433,42,23,26,medium
Jamaica Plain,546613.0,2016,9,384,46,32,13,medium
Jamaica Plain,549072.0,2016,10,382,48,12,11,medium
Jamaica Plain,553664.0,2016,11,398,52,10,26,medium
Jamaica Plain,556039.0,2016,12,385,42,15,20,medium
Jamaica Plain,558067.0,2017,1,332,46,7,17,medium
Jamaica Plain,561636.0,2017,2,346,55,13,20,medium
Jamaica Plain,567941.0,2017,3,355,36,24,16,medium
Jamaica Plain,576229.0,2017,4,348,44,22,12,medium
Jamaica Plain,580843.0,2017,5,392,37,27,13,medium
Jamaica Plain,583981.0,2017,6,409,64,19,23,medium
Jamaica Plain,586595.0,2017,7,434,64,21,28,medium
Jamaica Plain,590379.0,2017,8,431,57,17,25,medium
Jamaica Plain,592305.0,2017,9,417,71,12,33,medium
Jamaica Plain,593551.0,2017,10,379,46,14,33,medium
Jamaica Plain,594836.0,2017,11,366,39,20,22,medium
Jamaica Plain,596329.0,2017,12,363,38,16,18,medium
Jamaica Plain,598740.0,2018,1,380,41,29,18,medium
Jamaica Plain,601521.0,2018,2,315,35,15,19,medium
Jamaica Plain,606116.0,2018,3,375,49,11,13,medium
Jamaica Plain,609445.0,2018,4,364,42,21,20,medium
Jamaica Plain,613526.0,2018,5,458,61,14,25,medium
Jamaica Plain,617888.0,2018,6,405,58,16,22,medium
Jamaica Plain,622545.0,2018,7,411,39,20,17,medium
Jamaica Plain,625423.0,2018,8,368,56,9,23,medium
Jamaica Plain,627279.0,2018,9,374,48,36,10,medium
Jamaica Plain,629120.0,2018,10,457,63,26,21,medium
Jamaica Plain,632056.0,2018,11,404,52,28,21,medium
Jamaica Plain,634811.0,2018,12,374,35,35,26,medium
Jamaica Plain,639783.0,2019,9,34,3,1,3,medium
Jamaica Plain,640105.0,2019,10,365,45,12,20,medium
Jamaica Plain,638224.0,2019,11,346,15,10,25,medium
Jamaica Plain,637722.0,2019,12,314,27,7,34,medium
Jamaica Plain,638011.0,2020,1,411,26,18,27,medium
Jamaica Plain,642430.0,2020,2,323,16,18,16,medium
Jamaica Plain,646041.0,2020,3,286,15,3,17,medium
Jamaica Plain,648132.0,2020,4,254,17,1,14,medium
Jamaica Plain,647627.0,2020,5,317,15,9,8,medium
Jamaica Plain,645529.0,2020,6,295,26,2,18,medium
Jamaica Plain,645048.0,2020,7,286,31,1,18,medium
Jamaica Plain,649038.0,2020,8,324,21,11,18,medium
Jamaica Plain,657209.0,2020,9,342,24,12,17,medium
Jamaica Plain,664724.0,2020,10,348,34,11,24,medium
Jamaica Plain,669161.0,2020,11,289,17,9,28,medium
Jamaica Plain,669889.0,2020,12,277,27,6,16,medium
Jamaica Plain,670612.0,2021,1,299,18,11,22,medium
Jamaica Plain,673344.0,2021,2,282,27,10,18,medium
Jamaica Plain,675231.0,2021,3,309,32,11,12,medium
Jamaica Plain,679404.0,2021,4,310,22,13,17,medium
Jamaica Plain,681976.0,2021,5,278,24,19,13,medium
Jamaica Plain,688951.0,2021,6,298,27,5,12,medium
Jamaica Plain,696478.0,2021,7,309,27,7,19,medium
Jamaica Plain,702365.0,2021,8,285,15,5,15,medium
Jamaica Plain,702700.0,2021,9,281,22,2,14,medium
Leather District,716258.0,2015,6,8,3,0,3,medium
Leather District,732805.0,2015,7,22,1,3,3,medium
Leather District,745021.0,2015,8,10,0,0,2,medium
Leather District,761481.0,2015,9,18,4,1,1,medium
Leather District,765135.0,2015,10,16,3,0,0,medium
Leather District,769192.0,2015,11,11,1,2,0,medium
Leather District,771652.0,2015,12,14,0,3,2,medium
Leather District,782475.0,2016,1,7,1,0,0,medium
Leather District,788970.0,2016,2,11,1,1,1,medium
Leather District,797611.0,2016,3,8,3,0,1,medium
Leather District,798114.0,2016,4,4,1,0,1,medium
Leather District,800593.0,2016,5,7,0,0,0,high
Leather District,802305.0,2016,6,15,2,0,2,high
Leather District,804551.0,2016,7,13,1,2,1,high
Leather District,807312.0,2016,8,14,0,3,2,high
Leather District,807426.0,2016,9,9,2,0,2,high
Leather District,808599.0,2016,10,18,1,1,1,high
Leather District,813401.0,2016,11,12,2,0,0,high
Leather District,817692.0,2016,12,11,1,0,1,high
Leather District,821983.0,2017,1,13,0,0,2,high
Leather District,825885.0,2017,2,10,0,0,1,high
Leather District,831224.0,2017,3,11,3,2,0,high
Leather District,838306.0,2017,4,9,0,0,3,high
Leather District,842837.0,2017,5,9,1,0,1,high
Leather District,848187.0,2017,6,12,0,4,1,high
Leather District,853024.0,2017,7,8,0,1,2,high
Leather District,861150.0,2017,8,8,1,0,0,high
Leather District,865387.0,2017,9,8,0,0,2,high
Leather District,869881.0,2017,10,13,2,0,2,high
Leather District,871431.0,2017,11,8,2,0,2,high
Leather District,873151.0,2017,12,5,2,0,0,high
Leather District,878158.0,2018,1,28,2,0,3,high
Leather District,884293.0,2018,2,6,2,0,0,high
Leather District,892807.0,2018,3,7,1,1,0,high
Leather District,891802.0,2018,4,13,2,0,3,high
Leather District,890250.0,2018,5,12,2,1,1,high
Leather District,887097.0,2018,6,11,2,0,1,high
Leather District,891543.0,2018,7,12,0,0,3,high
Leather District,896055.0,2018,8,15,2,0,1,high
Leather District,900652.0,2018,9,19,5,1,3,high
Leather District,901129.0,2018,10,14,2,0,1,high
Leather District,901956.0,2018,11,10,1,3,0,high
Leather District,899438.0,2018,12,6,2,0,1,high
Leather District,894672.0,2019,10,6,2,0,1,high
Leather District,892832.0,2019,11,6,1,0,1,high
Leather District,893128.0,2019,12,9,0,0,0,high
Leather District,892228.0,2020,1,8,1,0,1,high
Leather District,895693.0,2020,2,7,0,1,2,high
Leather District,896730.0,2020,3,2,0,0,0,high
Leather District,898144.0,2020,4,3,0,1,0,high
Leather District,894912.0,2020,5,2,0,0,0,high
Leather District,888900.0,2020,6,4,1,0,0,high
Leather District,884504.0,2020,7,2,0,0,0,high
Leather District,884171.0,2020,8,1,0,0,0,high
Leather District,892821.0,2020,9,7,0,0,1,high
Leather District,900823.0,2020,10,9,1,0,1,high
Leather District,907372.0,2020,11,7,2,1,0,high
Leather District,907461.0,2020,12,7,1,0,0,high
Leather District,906003.0,2021,1,2,0,0,0,high
Leather District,907512.0,2021,2,3,0,0,0,high
Leather District,905377.0,2021,3,6,3,0,0,high
Leather District,909025.0,2021,4,11,2,0,2,high
Leather District,907731.0,2021,5,9,0,0,0,high
Leather District,911545.0,2021,6,7,1,0,0,high
Leather District,903147.0,2021,7,9,2,1,0,high
Leather District,893454.0,2021,8,6,1,0,1,high
Leather District,882568.0,2021,9,2,0,0,0,high
Longwood,495000.0,2015,6,28,6,0,6,low
Longwood,502411.0,2015,7,47,8,0,6,medium
Longwood,507462.0,2015,8,30,3,0,5,medium
Longwood,513908.0,2015,9,49,8,0,6,medium
Longwood,516510.0,2015,10,28,3,1,3,medium
Longwood,518833.0,2015,11,35,6,0,7,medium
Longwood,522207.0,2015,12,36,2,0,7,medium
Longwood,529177.0,2016,1,34,6,0,8,medium
Longwood,529390.0,2016,2,41,6,2,6,medium
Longwood,530890.0,2016,3,28,3,0,4,medium
Longwood,527704.0,2016,4,42,6,0,2,medium
Longwood,530504.0,2016,5,45,8,0,3,medium
Longwood,531364.0,2016,6,36,3,2,2,medium
Longwood,532090.0,2016,7,20,5,0,5,medium
Longwood,533425.0,2016,8,34,4,0,5,medium
Longwood,535270.0,2016,9,32,3,0,6,medium
Longwood,540373.0,2016,10,32,8,1,1,medium
Longwood,548573.0,2016,11,28,8,1,1,medium
Longwood,554751.0,2016,12,37,6,0,11,medium
Longwood,558508.0,2017,1,36,5,0,2,medium
Longwood,561716.0,2017,2,35,4,0,6,medium
Longwood,566979.0,2017,3,38,5,0,5,medium
Longwood,575193.0,2017,4,45,7,0,5,medium
Longwood,582429.0,2017,5,54,8,2,1,medium
Longwood,589685.0,2017,6,41,10,1,1,medium
Longwood,595435.0,2017,7,48,7,0,3,medium
Longwood,599631.0,2017,8,33,3,1,3,medium
Longwood,600945.0,2017,9,34,2,1,9,medium
Longwood,602090.0,2017,10,35,5,0,2,medium
Longwood,602950.0,2017,11,35,8,0,5,medium
Longwood,604492.0,2017,12,42,4,0,6,medium
Longwood,606639.0,2018,1,30,3,0,6,medium
Longwood,610558.0,2018,2,34,7,0,3,medium
Longwood,616596.0,2018,3,27,2,0,1,medium
Longwood,620649.0,2018,4,36,4,1,6,medium
Longwood,624492.0,2018,5,31,6,0,3,medium
Longwood,627023.0,2018,6,36,2,0,4,medium
Longwood,630708.0,2018,7,25,4,0,2,medium
Longwood,632113.0,2018,8,36,3,1,0,medium
Longwood,631937.0,2018,9,40,7,0,3,medium
Longwood,632229.0,2018,10,35,2,0,1,medium
Longwood,634349.0,2018,11,31,3,0,2,medium
Longwood,636900.0,2018,12,34,5,0,3,medium
Longwood,645926.0,2019,9,1,0,0,0,medium
Longwood,643307.0,2019,10,18,1,1,0,medium
Longwood,637251.0,2019,11,17,2,0,3,medium
Longwood,634930.0,2019,12,16,2,0,2,medium
Longwood,634610.0,2020,1,18,2,0,1,medium
Longwood,638697.0,2020,2,24,2,1,0,medium
Longwood,639831.0,2020,3,20,1,0,0,medium
Longwood,638379.0,2020,4,11,1,0,1,medium
Longwood,634986.0,2020,5,12,1,0,2,medium
Longwood,634118.0,2020,6,7,1,0,1,medium
Longwood,634505.0,2020,7,13,1,0,2,medium
Longwood,637575.0,2020,8,12,1,0,0,medium
Longwood,643142.0,2020,9,15,1,0,1,medium
Longwood,650276.0,2020,10,23,1,0,2,medium
Longwood,655202.0,2020,11,14,4,0,0,medium
Longwood,656915.0,2020,12,14,0,0,1,medium
Longwood,656447.0,2021,1,16,3,0,1,medium
Longwood,658750.0,2021,2,9,1,0,0,medium
Longwood,658849.0,2021,3,15,1,0,1,medium
Longwood,661842.0,2021,4,19,2,0,3,medium
Longwood,661933.0,2021,5,13,0,0,0,medium
Longwood,664454.0,2021,6,10,1,0,1,medium
Longwood,664248.0,2021,7,24,2,0,2,medium
Longwood,662681.0,2021,8,13,0,0,0,medium
Longwood,658890.0,2021,9,22,2,0,0,medium
Mattapan,316178.0,2015,6,174,36,5,6
Mattapan,322056.0,2015,7,334,63,7,14,low
Mattapan,325907.0,2015,8,315,46,3,32,low
Mattapan,328525.0,2015,9,322,51,8,30,low
Mattapan,330193.0,2015,10,307,43,11,19,low
Mattapan,331587.0,2015,11,297,61,11,23,low
Mattapan,335060.0,2015,12,317,57,5,23,low
Mattapan,341816.0,2016,1,303,50,3,13,low
Mattapan,347294.0,2016,2,277,41,6,17,low
Mattapan,352004.0,2016,3,318,49,6,10,low
Mattapan,355030.0,2016,4,289,61,8,8,low
Mattapan,357622.0,2016,5,380,70,9,13,low
Mattapan,359342.0,2016,6,386,65,14,17,low
Mattapan,359261.0,2016,7,341,52,8,12,low
Mattapan,360899.0,2016,8,411,63,9,20,low
