Neighborhood,prices,year,month,total crime,violent crime,drug crime,housing crime,price classified
Back Bay,1244468.0,2020,7,175,13,1,16,very high
Back Bay,1241567.0,2020,8,177,7,0,11,very high
Back Bay,1245731.0,2020,9,214,18,0,14,very high
Back Bay,1251418.0,2020,10,202,20,0,14,very high
Back Bay,1254756.0,2020,11,202,11,2,14,very high
Back Bay,1253931.0,2020,12,177,9,1,11,very high
Back Bay,1252561.0,2021,1,150,15,0,14,very high
Back Bay,1254988.0,2021,2,155,12,0,11,very high
Back Bay,1252234.0,2021,3,204,7,1,11,very high
Back Bay,1253460.0,2021,4,181,15,0,12,very high
Back Bay,1249263.0,2021,5,192,25,2,13,very high
Back Bay,1256943.0,2021,6,225,20,1,16,very high
Back Bay,1266001.0,2021,7,200,15,2,8,very high
Back Bay,1274896.0,2021,8,207,13,1,6,very high
Back Bay,1273664.0,2021,9,231,10,0,11,very high
Bay Village,972947.0,2015,6,6,2,0,0,high
Bay Village,985502.0,2015,7,21,4,0,4,high
Bay Village,994655.0,2015,8,18,3,0,1,high
Bay Village,1006524.0,2015,9,18,3,0,1,high
Bay Village,1009440.0,2015,10,24,4,0,2,high
Bay Village,1012315.0,2015,11,27,4,0,0,high
Bay Village,1017122.0,2015,12,24,2,1,1,high
Bay Village,1030274.0,2016,1,20,2,0,2,high
Bay Village,1035902.0,2016,2,16,4,0,1,high
Bay Village,1044703.0,2016,3,10,1,0,0,high
Bay Village,1043948.0,2016,4,15,6,0,2,high
Bay Village,1050588.0,2016,5,18,3,0,0,high
Bay Village,1060181.0,2016,6,15,1,0,1,high
Bay Village,1071621.0,2016,7,27,2,1,1,high
Bay Village,1082289.0,2016,8,20,5,0,2,high
Bay Village,1085502.0,2016,9,35,7,1,5,high
Bay Village,1092395.0,2016,10,35,4,0,6,high
Bay Village,1104097.0,2016,11,15,0,0,0,high
Bay Village,1110432.0,2016,12,24,0,0,2,high
Bay Village,1111386.0,2017,1,20,1,0,2,high
Bay Village,1114130.0,2017,2,20,2,0,4,high
Bay Village,1124749.0,2017,3,11,1,0,0,high
Bay Village,1138011.0,2017,4,18,4,0,0,high
Bay Village,1146580.0,2017,5,18,8,0,2,high
Bay Village,1146387.0,2017,6,22,2,0,2,high
Bay Village,1147273.0,2017,7,31,3,2,0,high
Bay Village,1148402.0,2017,8,30,4,1,1,high
Bay Village,1150109.0,2017,9,18,2,0,0,high
Bay Village,1151827.0,2017,10,15,7,0,2,high
Bay Village,1152548.0,2017,11,15,1,1,0,high
Bay Village,1155898.0,2017,12,23,5,1,1,high
Bay Village,1157195.0,2018,1,23,4,0,2,high
Bay Village,1158626.0,2018,2,15,0,0,1,high
Bay Village,1166824.0,2018,3,20,0,0,1,high
Bay Village,1172276.0,2018,4,29,2,0,1,high
Bay Village,1178971.0,2018,5,30,3,1,1,high
Bay Village,1179539.0,2018,6,20,4,0,1,high
Bay Village,1181516.0,2018,7,16,5,0,1,high
Bay Village,1179936.0,2018,8,22,3,0,3,high
Bay Village,1177840.0,2018,9,25,7,0,2,high
Bay Village,1176916.0,2018,10,15,0,0,0,high
Bay Village,1179480.0,2018,11,14,3,0,2,high
Bay Village,1179172.0,2018,12,20,2,0,0,high
Bay Village,1161848.0,2019,9,1,0,0,0,high
Bay Village,1163149.0,2019,10,13,2,0,2,high
Bay Village,1164393.0,2019,11,12,2,0,0,high
Bay Village,1168245.0,2019,12,8,1,0,0,high
Bay Village,1172001.0,2020,1,12,1,0,2,high
Bay Village,1179472.0,2020,2,12,1,1,0,high
Bay Village,1181635.0,2020,3,8,0,0,2,high
Bay Village,1181930.0,2020,4,4,0,0,0,high
Bay Village,1179437.0,2020,5,3,0,0,0,high
Bay Village,1173624.0,2020,6,5,2,1,0,high
Bay Village,1168083.0,2020,7,14,0,1,0,high
Bay Village,1165693.0,2020,8,10,1,1,0,high
Bay Village,1171210.0,2020,9,14,0,0,0,high
Bay Village,1178966.0,2020,10,8,0,0,1,high
Bay Village,1182441.0,2020,11,6,1,0,0,high
Bay Village,1182646.0,2020,12,7,0,0,0,high
Bay Village,1178325.0,2021,1,9,1,0,1,high
